trait	distance	cutoff	snp_set	Targeted_PositiveControl	enrichment	gene_set
Glucose	880000	log10 BF > 2	All SNPs	108	1.36	Expression
Glucose	890000	log10 BF > 2	All SNPs	110	1.37	Expression
Glucose	900000	log10 BF > 2	All SNPs	110	1.36	Expression
Glucose	910000	log10 BF > 2	All SNPs	111	1.35	Expression
Glucose	920000	log10 BF > 2	All SNPs	111	1.34	Expression
Glucose	930000	log10 BF > 2	All SNPs	111	1.33	Expression
Glucose	940000	log10 BF > 2	All SNPs	113	1.34	Expression
Glucose	950000	log10 BF > 2	All SNPs	114	1.35	Expression
Glucose	960000	log10 BF > 2	All SNPs	117	1.37	Expression
Glucose	970000	log10 BF > 2	All SNPs	117	1.35	Expression
Glucose	980000	log10 BF > 2	All SNPs	117	1.35	Expression
Glucose	990000	log10 BF > 2	All SNPs	117	1.34	Expression
Glucose	1000000	log10 BF > 2	All SNPs	117	1.32	Expression
Glucose	10000	log10 BF > 2	DHS SNPs (Trait-Specific)	6	6.66	Expression
Glucose	20000	log10 BF > 2	DHS SNPs (Trait-Specific)	10	6.45	Expression
Glucose	30000	log10 BF > 2	DHS SNPs (Trait-Specific)	14	6.59	Expression
Glucose	40000	log10 BF > 2	DHS SNPs (Trait-Specific)	17	6.46	Expression
Glucose	50000	log10 BF > 2	DHS SNPs (Trait-Specific)	20	6.94	Expression
Glucose	60000	log10 BF > 2	DHS SNPs (Trait-Specific)	20	6.03	Expression
Glucose	70000	log10 BF > 2	DHS SNPs (Trait-Specific)	22	5.6	Expression
Glucose	80000	log10 BF > 2	DHS SNPs (Trait-Specific)	22	5.09	Expression
Glucose	90000	log10 BF > 2	DHS SNPs (Trait-Specific)	22	4.66	Expression
Glucose	100000	log10 BF > 2	DHS SNPs (Trait-Specific)	24	4.63	Expression
Glucose	110000	log10 BF > 2	DHS SNPs (Trait-Specific)	27	4.71	Expression
Glucose	120000	log10 BF > 2	DHS SNPs (Trait-Specific)	27	4.51	Expression
Glucose	130000	log10 BF > 2	DHS SNPs (Trait-Specific)	27	4.28	Expression
Glucose	140000	log10 BF > 2	DHS SNPs (Trait-Specific)	27	3.99	Expression
Glucose	150000	log10 BF > 2	DHS SNPs (Trait-Specific)	28	3.94	Expression
Glucose	160000	log10 BF > 2	DHS SNPs (Trait-Specific)	29	3.89	Expression
Glucose	170000	log10 BF > 2	DHS SNPs (Trait-Specific)	30	3.85	Expression
Glucose	180000	log10 BF > 2	DHS SNPs (Trait-Specific)	31	3.86	Expression
Glucose	190000	log10 BF > 2	DHS SNPs (Trait-Specific)	31	3.6	Expression
Glucose	200000	log10 BF > 2	DHS SNPs (Trait-Specific)	31	3.44	Expression
Glucose	210000	log10 BF > 2	DHS SNPs (Trait-Specific)	32	3.43	Expression
Glucose	220000	log10 BF > 2	DHS SNPs (Trait-Specific)	32	3.23	Expression
Glucose	230000	log10 BF > 2	DHS SNPs (Trait-Specific)	33	3.2	Expression
Glucose	240000	log10 BF > 2	DHS SNPs (Trait-Specific)	34	3.17	Expression
Glucose	250000	log10 BF > 2	DHS SNPs (Trait-Specific)	35	3.08	Expression
Glucose	260000	log10 BF > 2	DHS SNPs (Trait-Specific)	36	3.08	Expression
Glucose	270000	log10 BF > 2	DHS SNPs (Trait-Specific)	36	2.97	Expression
Glucose	280000	log10 BF > 2	DHS SNPs (Trait-Specific)	37	2.93	Expression
Glucose	290000	log10 BF > 2	DHS SNPs (Trait-Specific)	37	2.88	Expression
Glucose	300000	log10 BF > 2	DHS SNPs (Trait-Specific)	37	2.81	Expression
Glucose	310000	log10 BF > 2	DHS SNPs (Trait-Specific)	37	2.72	Expression
Glucose	320000	log10 BF > 2	DHS SNPs (Trait-Specific)	37	2.65	Expression
Glucose	330000	log10 BF > 2	DHS SNPs (Trait-Specific)	39	2.67	Expression
Glucose	340000	log10 BF > 2	DHS SNPs (Trait-Specific)	41	2.74	Expression
Glucose	350000	log10 BF > 2	DHS SNPs (Trait-Specific)	41	2.63	Expression
Glucose	360000	log10 BF > 2	DHS SNPs (Trait-Specific)	42	2.63	Expression
Glucose	370000	log10 BF > 2	DHS SNPs (Trait-Specific)	42	2.6	Expression
Glucose	380000	log10 BF > 2	DHS SNPs (Trait-Specific)	43	2.58	Expression
Glucose	390000	log10 BF > 2	DHS SNPs (Trait-Specific)	44	2.57	Expression
Glucose	400000	log10 BF > 2	DHS SNPs (Trait-Specific)	44	2.51	Expression
Glucose	410000	log10 BF > 2	DHS SNPs (Trait-Specific)	45	2.5	Expression
Glucose	420000	log10 BF > 2	DHS SNPs (Trait-Specific)	46	2.49	Expression
Glucose	430000	log10 BF > 2	DHS SNPs (Trait-Specific)	46	2.44	Expression
Glucose	440000	log10 BF > 2	DHS SNPs (Trait-Specific)	46	2.4	Expression
Glucose	450000	log10 BF > 2	DHS SNPs (Trait-Specific)	46	2.35	Expression
Glucose	460000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.36	Expression
Glucose	470000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.3	Expression
Glucose	480000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.28	Expression
Glucose	490000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.25	Expression
Glucose	500000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.2	Expression
Glucose	510000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.16	Expression
Glucose	520000	log10 BF > 2	DHS SNPs (Trait-Specific)	47	2.13	Expression
Glucose	530000	log10 BF > 2	DHS SNPs (Trait-Specific)	48	2.15	Expression
Glucose	540000	log10 BF > 2	DHS SNPs (Trait-Specific)	49	2.14	Expression
Glucose	550000	log10 BF > 2	DHS SNPs (Trait-Specific)	51	2.17	Expression
Glucose	560000	log10 BF > 2	DHS SNPs (Trait-Specific)	52	2.18	Expression
Glucose	570000	log10 BF > 2	DHS SNPs (Trait-Specific)	52	2.15	Expression
Glucose	580000	log10 BF > 2	DHS SNPs (Trait-Specific)	52	2.13	Expression
Glucose	590000	log10 BF > 2	DHS SNPs (Trait-Specific)	52	2.1	Expression
Glucose	600000	log10 BF > 2	DHS SNPs (Trait-Specific)	53	2.11	Expression
Glucose	610000	log10 BF > 2	DHS SNPs (Trait-Specific)	53	2.07	Expression
Glucose	620000	log10 BF > 2	DHS SNPs (Trait-Specific)	55	2.13	Expression
Glucose	630000	log10 BF > 2	DHS SNPs (Trait-Specific)	56	2.13	Expression
Glucose	640000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.17	Expression
Glucose	650000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.14	Expression
Glucose	660000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.12	Expression
Glucose	670000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.09	Expression
Glucose	680000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.07	Expression
Glucose	690000	log10 BF > 2	DHS SNPs (Trait-Specific)	58	2.05	Expression
Glucose	700000	log10 BF > 2	DHS SNPs (Trait-Specific)	59	2.05	Expression
Glucose	710000	log10 BF > 2	DHS SNPs (Trait-Specific)	59	2.03	Expression
Glucose	720000	log10 BF > 2	DHS SNPs (Trait-Specific)	59	2.02	Expression
Glucose	730000	log10 BF > 2	DHS SNPs (Trait-Specific)	59	2.01	Expression
Glucose	740000	log10 BF > 2	DHS SNPs (Trait-Specific)	59	1.98	Expression
Glucose	750000	log10 BF > 2	DHS SNPs (Trait-Specific)	60	1.98	Expression
Glucose	760000	log10 BF > 2	DHS SNPs (Trait-Specific)	60	1.97	Expression
Glucose	770000	log10 BF > 2	DHS SNPs (Trait-Specific)	61	1.99	Expression
Glucose	780000	log10 BF > 2	DHS SNPs (Trait-Specific)	61	1.96	Expression
Glucose	790000	log10 BF > 2	DHS SNPs (Trait-Specific)	61	1.93	Expression
Glucose	800000	log10 BF > 2	DHS SNPs (Trait-Specific)	61	1.92	Expression
Glucose	810000	log10 BF > 2	DHS SNPs (Trait-Specific)	62	1.92	Expression
Glucose	820000	log10 BF > 2	DHS SNPs (Trait-Specific)	62	1.9	Expression
Glucose	830000	log10 BF > 2	DHS SNPs (Trait-Specific)	63	1.91	Expression
Glucose	840000	log10 BF > 2	DHS SNPs (Trait-Specific)	64	1.92	Expression
Glucose	850000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.94	Expression
Glucose	860000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.92	Expression
Glucose	870000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.9	Expression
Glucose	880000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.88	Expression
Glucose	890000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.86	Expression
Glucose	900000	log10 BF > 2	DHS SNPs (Trait-Specific)	65	1.84	Expression
Glucose	910000	log10 BF > 2	DHS SNPs (Trait-Specific)	66	1.86	Expression
Glucose	920000	log10 BF > 2	DHS SNPs (Trait-Specific)	66	1.85	Expression
Glucose	930000	log10 BF > 2	DHS SNPs (Trait-Specific)	66	1.84	Expression
Glucose	940000	log10 BF > 2	DHS SNPs (Trait-Specific)	67	1.85	Expression
Glucose	950000	log10 BF > 2	DHS SNPs (Trait-Specific)	68	1.86	Expression
Glucose	960000	log10 BF > 2	DHS SNPs (Trait-Specific)	70	1.9	Expression
Glucose	970000	log10 BF > 2	DHS SNPs (Trait-Specific)	70	1.88	Expression
Glucose	980000	log10 BF > 2	DHS SNPs (Trait-Specific)	71	1.9	Expression
Glucose	990000	log10 BF > 2	DHS SNPs (Trait-Specific)	71	1.88	Expression
Glucose	1000000	log10 BF > 2	DHS SNPs (Trait-Specific)	71	1.87	Expression
Glucose	10000	P-value < 5e-8	All SNPs	35	3.48	Expression
Glucose	20000	P-value < 5e-8	All SNPs	40	3.46	Expression
Glucose	30000	P-value < 5e-8	All SNPs	40	3.1	Expression
Glucose	40000	P-value < 5e-8	All SNPs	42	2.97	Expression
Glucose	50000	P-value < 5e-8	All SNPs	45	2.95	Expression
Glucose	60000	P-value < 5e-8	All SNPs	45	2.7	Expression
Glucose	70000	P-value < 5e-8	All SNPs	46	2.57	Expression
Glucose	80000	P-value < 5e-8	All SNPs	49	2.58	Expression
Glucose	90000	P-value < 5e-8	All SNPs	49	2.45	Expression
Glucose	100000	P-value < 5e-8	All SNPs	50	2.38	Expression
Glucose	110000	P-value < 5e-8	All SNPs	51	2.36	Expression
Glucose	120000	P-value < 5e-8	All SNPs	51	2.28	Expression
Glucose	130000	P-value < 5e-8	All SNPs	52	2.22	Expression
Glucose	140000	P-value < 5e-8	All SNPs	52	2.12	Expression
Glucose	150000	P-value < 5e-8	All SNPs	54	2.1	Expression
Glucose	160000	P-value < 5e-8	All SNPs	56	2.09	Expression
Glucose	170000	P-value < 5e-8	All SNPs	58	2.08	Expression
Glucose	180000	P-value < 5e-8	All SNPs	58	2.02	Expression
Glucose	190000	P-value < 5e-8	All SNPs	59	1.99	Expression
Glucose	200000	P-value < 5e-8	All SNPs	61	1.99	Expression
Glucose	210000	P-value < 5e-8	All SNPs	61	1.94	Expression
Glucose	220000	P-value < 5e-8	All SNPs	64	1.96	Expression
Glucose	230000	P-value < 5e-8	All SNPs	64	1.91	Expression
Glucose	240000	P-value < 5e-8	All SNPs	65	1.87	Expression
Glucose	250000	P-value < 5e-8	All SNPs	68	1.9	Expression
Glucose	260000	P-value < 5e-8	All SNPs	69	1.88	Expression
Glucose	270000	P-value < 5e-8	All SNPs	70	1.84	Expression
Glucose	280000	P-value < 5e-8	All SNPs	71	1.83	Expression
Glucose	290000	P-value < 5e-8	All SNPs	72	1.81	Expression
Glucose	300000	P-value < 5e-8	All SNPs	74	1.8	Expression
Glucose	310000	P-value < 5e-8	All SNPs	75	1.8	Expression
Glucose	320000	P-value < 5e-8	All SNPs	79	1.84	Expression
Glucose	330000	P-value < 5e-8	All SNPs	79	1.79	Expression
Glucose	340000	P-value < 5e-8	All SNPs	80	1.77	Expression
Glucose	350000	P-value < 5e-8	All SNPs	81	1.76	Expression
Glucose	360000	P-value < 5e-8	All SNPs	83	1.76	Expression
Glucose	370000	P-value < 5e-8	All SNPs	85	1.76	Expression
Glucose	380000	P-value < 5e-8	All SNPs	85	1.73	Expression
Glucose	390000	P-value < 5e-8	All SNPs	88	1.76	Expression
Glucose	400000	P-value < 5e-8	All SNPs	90	1.77	Expression
Glucose	410000	P-value < 5e-8	All SNPs	92	1.78	Expression
Glucose	420000	P-value < 5e-8	All SNPs	93	1.75	Expression
Glucose	430000	P-value < 5e-8	All SNPs	93	1.72	Expression
Glucose	440000	P-value < 5e-8	All SNPs	96	1.74	Expression
Glucose	450000	P-value < 5e-8	All SNPs	96	1.72	Expression
Glucose	460000	P-value < 5e-8	All SNPs	96	1.69	Expression
Glucose	470000	P-value < 5e-8	All SNPs	96	1.66	Expression
Glucose	480000	P-value < 5e-8	All SNPs	97	1.65	Expression
Glucose	490000	P-value < 5e-8	All SNPs	97	1.62	Expression
Glucose	500000	P-value < 5e-8	All SNPs	97	1.61	Expression
Glucose	510000	P-value < 5e-8	All SNPs	100	1.63	Expression
Glucose	520000	P-value < 5e-8	All SNPs	100	1.61	Expression
Glucose	530000	P-value < 5e-8	All SNPs	100	1.58	Expression
Glucose	540000	P-value < 5e-8	All SNPs	101	1.57	Expression
Glucose	550000	P-value < 5e-8	All SNPs	102	1.57	Expression
Glucose	560000	P-value < 5e-8	All SNPs	103	1.56	Expression
Glucose	570000	P-value < 5e-8	All SNPs	104	1.54	Expression
Glucose	580000	P-value < 5e-8	All SNPs	104	1.52	Expression
Glucose	590000	P-value < 5e-8	All SNPs	104	1.5	Expression
Glucose	600000	P-value < 5e-8	All SNPs	107	1.51	Expression
Glucose	610000	P-value < 5e-8	All SNPs	111	1.55	Expression
Glucose	620000	P-value < 5e-8	All SNPs	112	1.54	Expression
Glucose	630000	P-value < 5e-8	All SNPs	112	1.53	Expression
Glucose	640000	P-value < 5e-8	All SNPs	112	1.51	Expression
Glucose	650000	P-value < 5e-8	All SNPs	113	1.5	Expression
Glucose	660000	P-value < 5e-8	All SNPs	114	1.5	Expression
Glucose	670000	P-value < 5e-8	All SNPs	115	1.5	Expression
Glucose	680000	P-value < 5e-8	All SNPs	115	1.48	Expression
Glucose	690000	P-value < 5e-8	All SNPs	115	1.47	Expression
Glucose	700000	P-value < 5e-8	All SNPs	115	1.45	Expression
Glucose	710000	P-value < 5e-8	All SNPs	116	1.44	Expression
Glucose	720000	P-value < 5e-8	All SNPs	117	1.44	Expression
Glucose	730000	P-value < 5e-8	All SNPs	118	1.44	Expression
Glucose	740000	P-value < 5e-8	All SNPs	118	1.42	Expression
Glucose	750000	P-value < 5e-8	All SNPs	118	1.41	Expression
Glucose	760000	P-value < 5e-8	All SNPs	119	1.4	Expression
Glucose	770000	P-value < 5e-8	All SNPs	121	1.41	Expression
Glucose	780000	P-value < 5e-8	All SNPs	121	1.39	Expression
Glucose	790000	P-value < 5e-8	All SNPs	122	1.39	Expression
Glucose	800000	P-value < 5e-8	All SNPs	122	1.38	Expression
Glucose	810000	P-value < 5e-8	All SNPs	123	1.38	Expression
Glucose	820000	P-value < 5e-8	All SNPs	124	1.37	Expression
Glucose	830000	P-value < 5e-8	All SNPs	125	1.37	Expression
Glucose	840000	P-value < 5e-8	All SNPs	126	1.37	Expression
Glucose	850000	P-value < 5e-8	All SNPs	126	1.36	Expression
Glucose	860000	P-value < 5e-8	All SNPs	129	1.37	Expression
Glucose	870000	P-value < 5e-8	All SNPs	129	1.36	Expression
Glucose	880000	P-value < 5e-8	All SNPs	129	1.35	Expression
Glucose	890000	P-value < 5e-8	All SNPs	132	1.37	Expression
Glucose	900000	P-value < 5e-8	All SNPs	133	1.37	Expression
Glucose	910000	P-value < 5e-8	All SNPs	134	1.36	Expression
Glucose	920000	P-value < 5e-8	All SNPs	138	1.39	Expression
Glucose	930000	P-value < 5e-8	All SNPs	138	1.38	Expression
Glucose	940000	P-value < 5e-8	All SNPs	140	1.39	Expression
Glucose	950000	P-value < 5e-8	All SNPs	140	1.38	Expression
Glucose	960000	P-value < 5e-8	All SNPs	140	1.37	Expression
Glucose	970000	P-value < 5e-8	All SNPs	142	1.38	Expression
Glucose	980000	P-value < 5e-8	All SNPs	142	1.36	Expression
Glucose	990000	P-value < 5e-8	All SNPs	143	1.36	Expression
Glucose	1000000	P-value < 5e-8	All SNPs	147	1.38	Expression
Glucose	10000	log10 BF > 2	DHS SNPs	16	5.84	Expression
Glucose	20000	log10 BF > 2	DHS SNPs	26	5.73	Expression
Glucose	30000	log10 BF > 2	DHS SNPs	29	5.03	Expression
Glucose	40000	log10 BF > 2	DHS SNPs	32	4.67	Expression
Glucose	50000	log10 BF > 2	DHS SNPs	36	4.31	Expression
Glucose	60000	log10 BF > 2	DHS SNPs	37	3.88	Expression
Glucose	70000	log10 BF > 2	DHS SNPs	37	3.41	Expression
Glucose	80000	log10 BF > 2	DHS SNPs	38	3.14	Expression
Glucose	90000	log10 BF > 2	DHS SNPs	38	2.95	Expression
Glucose	100000	log10 BF > 2	DHS SNPs	39	2.83	Expression
Glucose	110000	log10 BF > 2	DHS SNPs	41	2.74	Expression
Glucose	120000	log10 BF > 2	DHS SNPs	42	2.69	Expression
Glucose	130000	log10 BF > 2	DHS SNPs	42	2.53	Expression
Glucose	140000	log10 BF > 2	DHS SNPs	42	2.37	Expression
Glucose	150000	log10 BF > 2	DHS SNPs	43	2.32	Expression
Glucose	160000	log10 BF > 2	DHS SNPs	44	2.29	Expression
Glucose	170000	log10 BF > 2	DHS SNPs	46	2.27	Expression
Glucose	180000	log10 BF > 2	DHS SNPs	47	2.24	Expression
Glucose	190000	log10 BF > 2	DHS SNPs	47	2.15	Expression
Glucose	200000	log10 BF > 2	DHS SNPs	47	2.09	Expression
Glucose	210000	log10 BF > 2	DHS SNPs	49	2.13	Expression
Glucose	220000	log10 BF > 2	DHS SNPs	50	2.08	Expression
Glucose	230000	log10 BF > 2	DHS SNPs	51	2.06	Expression
Glucose	240000	log10 BF > 2	DHS SNPs	53	2.07	Expression
Glucose	250000	log10 BF > 2	DHS SNPs	55	2.05	Expression
Glucose	260000	log10 BF > 2	DHS SNPs	56	2.03	Expression
Glucose	270000	log10 BF > 2	DHS SNPs	56	1.97	Expression
Glucose	280000	log10 BF > 2	DHS SNPs	56	1.93	Expression
Glucose	290000	log10 BF > 2	DHS SNPs	56	1.87	Expression
Glucose	300000	log10 BF > 2	DHS SNPs	56	1.83	Expression
Glucose	310000	log10 BF > 2	DHS SNPs	56	1.79	Expression
Glucose	320000	log10 BF > 2	DHS SNPs	59	1.84	Expression
Glucose	330000	log10 BF > 2	DHS SNPs	59	1.78	Expression
Glucose	340000	log10 BF > 2	DHS SNPs	60	1.77	Expression
Glucose	350000	log10 BF > 2	DHS SNPs	60	1.73	Expression
Glucose	360000	log10 BF > 2	DHS SNPs	62	1.75	Expression
Glucose	370000	log10 BF > 2	DHS SNPs	62	1.72	Expression
Glucose	380000	log10 BF > 2	DHS SNPs	63	1.72	Expression
Glucose	390000	log10 BF > 2	DHS SNPs	64	1.71	Expression
Glucose	400000	log10 BF > 2	DHS SNPs	64	1.68	Expression
Glucose	410000	log10 BF > 2	DHS SNPs	67	1.72	Expression
Glucose	420000	log10 BF > 2	DHS SNPs	69	1.74	Expression
Glucose	430000	log10 BF > 2	DHS SNPs	69	1.7	Expression
Glucose	440000	log10 BF > 2	DHS SNPs	69	1.67	Expression
Glucose	450000	log10 BF > 2	DHS SNPs	72	1.71	Expression
Glucose	460000	log10 BF > 2	DHS SNPs	72	1.68	Expression
Glucose	470000	log10 BF > 2	DHS SNPs	74	1.69	Expression
Glucose	480000	log10 BF > 2	DHS SNPs	74	1.66	Expression
Glucose	490000	log10 BF > 2	DHS SNPs	74	1.64	Expression
Glucose	500000	log10 BF > 2	DHS SNPs	74	1.62	Expression
Glucose	510000	log10 BF > 2	DHS SNPs	75	1.62	Expression
Glucose	520000	log10 BF > 2	DHS SNPs	76	1.61	Expression
Glucose	530000	log10 BF > 2	DHS SNPs	76	1.59	Expression
Glucose	540000	log10 BF > 2	DHS SNPs	78	1.6	Expression
Glucose	550000	log10 BF > 2	DHS SNPs	79	1.59	Expression
Glucose	560000	log10 BF > 2	DHS SNPs	79	1.57	Expression
Glucose	570000	log10 BF > 2	DHS SNPs	79	1.55	Expression
Glucose	580000	log10 BF > 2	DHS SNPs	80	1.55	Expression
Glucose	590000	log10 BF > 2	DHS SNPs	80	1.53	Expression
Glucose	600000	log10 BF > 2	DHS SNPs	80	1.49	Expression
Glucose	610000	log10 BF > 2	DHS SNPs	80	1.47	Expression
Glucose	620000	log10 BF > 2	DHS SNPs	82	1.49	Expression
Glucose	630000	log10 BF > 2	DHS SNPs	83	1.49	Expression
Glucose	640000	log10 BF > 2	DHS SNPs	84	1.48	Expression
Glucose	650000	log10 BF > 2	DHS SNPs	84	1.46	Expression
Glucose	660000	log10 BF > 2	DHS SNPs	84	1.45	Expression
Glucose	670000	log10 BF > 2	DHS SNPs	85	1.44	Expression
Glucose	680000	log10 BF > 2	DHS SNPs	88	1.48	Expression
Glucose	690000	log10 BF > 2	DHS SNPs	88	1.45	Expression
Glucose	700000	log10 BF > 2	DHS SNPs	91	1.47	Expression
Glucose	710000	log10 BF > 2	DHS SNPs	91	1.46	Expression
Glucose	720000	log10 BF > 2	DHS SNPs	91	1.45	Expression
Glucose	730000	log10 BF > 2	DHS SNPs	92	1.45	Expression
Glucose	740000	log10 BF > 2	DHS SNPs	92	1.43	Expression
Glucose	750000	log10 BF > 2	DHS SNPs	93	1.42	Expression
Glucose	760000	log10 BF > 2	DHS SNPs	94	1.42	Expression
Glucose	770000	log10 BF > 2	DHS SNPs	96	1.44	Expression
Glucose	780000	log10 BF > 2	DHS SNPs	96	1.42	Expression
Glucose	790000	log10 BF > 2	DHS SNPs	98	1.43	Expression
Glucose	800000	log10 BF > 2	DHS SNPs	98	1.42	Expression
