distance	cutoff	targeting_method	snp_set	annotation	trait	Targeted_PositiveControl	Targeted	All_PositiveControl	All	enrichment
200000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	849	982	27255	1.99414550243608
210000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	61	871	982	27255	1.94377672969946
220000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	64	907	982	27255	1.95842698899934
230000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	64	930	982	27255	1.90999277314237
240000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	65	963	982	27255	1.87336226532412
250000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	68	991	982	27255	1.90445167402755
260000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	69	1016	982	27255	1.88490766874609
270000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	70	1054	982	27255	1.84328346672747
280000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	71	1077	982	27255	1.82968928172282
290000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	72	1105	982	27255	1.80844338362009
300000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	74	1139	982	27255	1.8031949990076
310000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	75	1159	982	27255	1.79602561376564
320000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	79	1194	982	27255	1.83635847260744
330000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	79	1227	982	27255	1.78696985842973
340000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	80	1254	982	27255	1.77062727175279
350000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	81	1278	982	27255	1.75909325607412
360000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	83	1309	982	27255	1.7598398366938
370000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	85	1338	982	27255	1.76318349118208
380000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	85	1362	982	27255	1.73211417856214
390000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	88	1390	982	27255	1.75712464651497
400000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	90	1412	982	27255	1.76905979010287
410000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	92	1438	982	27255	1.77567565270842
420000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	93	1471	982	27255	1.75470847796018
430000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	93	1499	982	27255	1.72193206876546
440000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1527	982	27255	1.74488534285108
450000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1547	982	27255	1.72232703201914
460000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1573	982	27255	1.69385881661386
470000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	96	1601	982	27255	1.66423480233205
480000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1633	982	27255	1.64861880037865
490000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1657	982	27255	1.62474019373466
500000	-log10_P-value_7.30103	closest_gene	All_SNPs	Glucose_expression	GLUCOSE	97	1677	982	27255	1.60536344723812
